@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10}

@data
90,'2016/07/31 16:11:46:291',2,4.526937,2345.703857,-62.362602,13.94458,-1.10263,4.265288,-0.499108,-5.380492,0.975719,2.460024,0.629644,3.091632,-0.011742,-2.405274,0.73186,-1.38743,-0.63234,0.982159,-1.378151,-1.169932,-0.395649,-0.069794,0.93748,0.147271,-0.765259,0.708975,1
91,'2016/07/31 16:11:46:301',2,4.695722,2332.207764,-54.751259,15.191206,-2.245109,4.91642,-0.225405,-6.117251,1.093568,2.48578,0.687846,3.161107,0.301233,-2.476135,1.170969,-1.530367,-0.158538,0.972373,-1.344119,-1.456644,-0.639642,-0.5445,0.984552,0.331999,-0.994612,0.288273,1
92,'2016/07/31 16:11:46:311',2,7.154002,2191.120117,-49.835926,15.697483,-2.781921,4.128654,0.619671,-5.428019,0.990288,2.566267,0.805644,2.610898,0.631668,-2.773571,1.624131,-2.427941,-0.023452,0.74182,-1.306165,-1.158035,-0.741619,-0.567478,1.179242,0.460648,-0.537663,0.632621,1
93,'2016/07/31 16:11:46:321',2,7.848532,2199.385498,-46.051579,16.407293,-3.314733,4.13615,0.13597,-5.321929,1.128945,2.304229,0.864762,2.357814,0.551659,-2.696272,1.465268,-2.405672,-0.353801,0.702638,-1.050135,-0.899543,-0.662188,-0.342987,0.901078,0.48331,-0.465472,0.674361,1
94,'2016/07/31 16:11:46:331',2,7.53871,2367.125,-44.217346,16.309185,-2.897529,3.892231,0.559437,-5.872212,0.969014,2.513081,0.341425,2.774228,0.557761,-3.005967,1.749615,-2.414291,-0.397053,1.124505,-1.306137,-0.799501,-0.721181,-0.298996,0.884104,0.365015,-0.712254,0.640125,1
95,'2016/07/31 16:11:46:341',2,6.989058,2383.950684,-42.060238,16.160749,-3.17172,3.924068,0.980405,-6.30843,1.043263,2.577555,0.504418,3.117553,0.738615,-3.098162,1.999847,-2.226083,-0.304623,1.53931,-1.783376,-0.70167,-1.120911,-0.265801,0.635889,0.305536,-1.069103,0.42623,1
96,'2016/07/31 16:11:46:351',2,5.551359,2527.374756,-41.233139,15.901688,-3.685674,4.489184,1.056784,-5.807906,1.953698,1.537356,1.107011,2.521534,0.497923,-2.587364,1.289756,-2.155516,-0.554089,1.317293,-1.219287,-1.228504,-0.64444,-0.312332,0.720602,0.249165,-0.460896,0.638285,1
97,'2016/07/31 16:11:46:361',2,4.540013,2469.943359,-39.734642,15.682571,-3.593127,5.066232,0.394549,-4.650283,1.324447,2.397951,0.650548,2.339183,0.764242,-2.622802,1.180092,-2.579186,-0.494136,0.77771,-0.952729,-0.413794,-1.15693,0.138558,0.439849,0.22847,0.216368,0.578335,1
98,'2016/07/31 16:11:46:371',2,5.119265,2325.790771,-38.885918,15.743935,-3.223444,4.545989,0.474105,-4.175629,0.469364,2.866769,0.337811,2.514205,0.709775,-2.713538,1.316015,-2.379562,-0.687621,0.496393,-0.661876,-0.384657,-0.928413,-0.092398,0.600743,0.03019,0.138385,0.721349,1
99,'2016/07/31 16:11:46:381',2,6.88984,2416.171387,-36.308746,15.05455,-3.874838,4.911336,1.326019,-5.144329,-0.113241,1.989188,1.0099,2.691422,0.98061,-2.564727,1.447468,-2.225453,-0.471011,0.397723,-0.33785,-0.591616,-0.571821,-0.887834,0.790614,-0.517891,-0.29521,1.115574,1
